Freature Name,Feature Name AR,Feature Description AR,Feature Description EN
Diagnosis,التشخيص,This refers to the identification of breast cancer. It involves assessing various factors and tests to determine whether a growth or abnormality in the breast tissue is cancerous (B (Benign - حميد) or M (Malignant - خبيث)),يشير إلى تحديد سرطان الثدي. يتضمن تقييم عوامل متعددة واختبارات لتحديد ما إذا كان النمو أو الشذوذ في أنسجة الثدي سرطانيًا
Radius Mean,نصف القطر المتوسط,"Also known as “mean radius,” this feature represents the average distance from the center of a breast mass (tumor) to its outer edge. It provides information about the size of the tumor",يُعرف أيضًا باسم “نصف القطر المتوسط”. يُمثل المسافة المتوسطة من مركز الكتلة الثديية (ورم) إلى حافتها الخارجية. يوفر معلومات حول حجم الورم
Texture Mean,الملمس المتوسط,Texture refers to variations in pixel intensity within the breast mass. A higher texture mean value indicates greater irregularity or heterogeneity in the tissue,الملمس يشير إلى التباين في كثافة البكسل داخل الكتلة الثديية. قيمة الملمس المتوسطة الأعلى تشير إلى تشوه أو تباين أكبر في الأنسجة
Perimeter Mean,المحيط المتوسط, The average circumference of the tumor. It provides insights into the tumor’s shape and extent,متوسط محيط الورم. يوفر رؤى حول شكل الورم ومدى انتشاره
Area Mean,المنطقة المتوسطة,"  ,Represents the average area of the tumor. Larger values indicate larger tumor sizes",يُمثل المنطقة المتوسطة للورم. القيم الأكبر تشير إلى أحجام أكبر للورم
Smoothness Mean,النعومة المتوسطة, Describes the variation in cell size and shape within the tumor. Smoother textures have lower values,يصف التباين في حجم وشكل الخلايا داخل الورم. النصوص الأكثر نعومة لها قيم أقل
Compactness Mean,الانضغاط المتوسط, Reflects how closely the tumor cells are packed together. Higher compactness may indicate denser tissue,يعكس مدى اقتراب خلايا الورم من بعضها البعض. القيم الأعلى قد تشير إلى أنسجة أكثر كثافة
Concavity Mean,التقعر المتوسط, Measures the severity of concave (depressed) areas within the tumor boundary. Higher values suggest more pronounced concavities,يقيس شدة المناطق المقعرة (المنخفضة) داخل حدود الورم. القيم الأعلى تشير إلى تجاويف أكثر وضوحًا
Concave Points Mean,النقاط المقعرة المتوسطة, Indicates the number of concave regions within the tumor. These points are where the tumor boundary curves inward,تشير إلى عدد المناطق المقعرة داخل الورم. هذه النقاط هي التي ينحني فيها حد الورم
Symmetry Mean,التماثل المتوسط, Assesses the symmetry of the tumor shape. Deviations from symmetry may be indicative of irregular growth,يقيم تماثل شكل الورم. الانحرافات عن التماثل قد تشير إلى نمو غير منتظم
